id,city,price,area,years_of_construction,number_of_rooms,have_balcony,have_garage,rating,category
5993,Lyon,397951,76,2014,1,1,0,3.2,medium
5994,Lyon,287808,50,2020,1,0,0,3.2,medium
5995,Marseille,529406,150,2008,4,0,0,3.3999999999999995,medium
5996,Marseille,712487,157,2021,4,1,1,4.499999999999999,medium
5997,Marseille,303725,60,2014,2,0,0,3.3,high
5998,Lyon,706347,91,2021,2,1,0,4.3,high
5999,Lyon,877497,125,2017,2,1,0,4.6,high
6000,Lyon,799564,122,2012,2,0,1,4.0,medium
6001,Paris,383543,37,2010,1,0,0,2.9000000000000004,medium
6002,Paris,731876,55,2021,2,0,0,4.3,high
6003,Paris,612847,49,2014,1,0,0,3.7,high
6004,Lyon,488496,87,2010,2,1,1,4.0,medium
6005,Marseille,513141,97,2015,2,1,0,3.5999999999999996,high
6006,Paris,865733,71,2010,2,1,0,3.8,medium
6007,Paris,284318,38,2007,1,0,0,2.6000000000000005,medium
6008,Lyon,483068,79,2021,2,1,0,3.8,medium
6009,Paris,502917,62,2010,2,0,0,3.5,medium
6010,Paris,360999,37,2023,1,0,0,3.2,medium
6011,Lyon,410592,62,2017,1,0,0,3.7,high
6012,Lyon,253030,50,2010,2,0,0,3.2,medium
6013,Marseille,442422,119,2010,2,1,1,3.3999999999999995,low
6014,Marseille,369514,71,2021,1,0,0,3.3,high
6015,Marseille,624498,146,2021,3,1,0,3.6999999999999993,medium
6016,Paris,602481,56,2009,2,0,0,3.5,medium
6017,Lyon,363031,67,2005,2,0,0,2.9000000000000004,medium
6018,Paris,331649,29,2013,1,0,0,3.4000000000000004,high
6019,Lyon,494875,82,2014,1,1,0,3.2,medium
6020,Paris,670671,48,2023,1,0,0,4.0,high
6021,Paris,601742,62,2020,2,0,0,3.8,medium
6022,Paris,730754,64,2013,2,1,0,3.8,medium
6023,Lyon,660115,106,2018,2,0,0,4.3,high
6024,Marseille,484955,99,2024,2,1,1,3.8999999999999995,medium
6025,Marseille,279527,90,2019,1,1,0,2.5999999999999996,low
6026,Lyon,357232,57,2010,2,0,0,3.7,high
6027,Marseille,426088,93,2008,2,1,1,3.5999999999999996,medium
6028,Lyon,345927,54,2007,1,0,0,3.1000000000000005,high
6029,Lyon,374962,68,2015,2,0,0,3.2,medium
6030,Paris,778772,68,2005,1,1,0,3.2,medium
6031,Lyon,590903,103,2006,2,1,0,3.5,medium
6032,Paris,511586,65,2020,1,0,0,3.5,medium
6033,Paris,916182,69,2016,1,0,0,4.0,high
6034,Marseille,833168,160,2017,3,1,1,4.199999999999999,medium
6035,Marseille,510928,98,2024,1,1,1,3.5999999999999996,medium
6036,Lyon,452468,90,2017,1,1,1,4.0,medium
6037,Marseille,637963,85,2024,2,1,0,1.4,scam
6038,Marseille,372080,97,2020,1,1,1,3.5999999999999996,medium
6039,Paris,752443,67,2009,2,1,0,3.8,medium
6040,Marseille,333767,68,2023,1,1,0,3.5999999999999996,high
6041,Lyon,478213,88,2023,1,1,0,3.5,medium
6042,Lyon,629517,86,2018,1,1,1,4.0,medium
6043,Lyon,453153,60,2014,2,1,0,4.0,high
6044,Lyon,315969,50,2017,2,0,0,4.0,high
6045,Paris,650569,50,2023,2,0,0,4.3,high
6046,Paris,909331,70,2024,1,1,0,4.3,high
6047,Marseille,395594,123,2018,2,1,0,3.1999999999999993,low
6048,Paris,281611,39,2006,1,0,0,2.1000000000000005,low
6049,Paris,387785,41,2012,1,0,0,3.2,medium
6050,Lyon,263366,55,2012,1,1,0,3.2,medium
6051,Paris,362756,36,2021,1,0,0,3.2,medium
6052,Marseille,583754,130,2008,3,0,0,3.5999999999999996,high
6053,Lyon,490068,105,2011,2,1,1,3.8,low
6054,Marseille,364024,65,2016,2,1,0,3.8999999999999995,high
6055,Lyon,598722,99,2009,2,1,1,4.0,medium
6056,Lyon,947876,126,2009,2,1,1,4.3,medium
6057,Lyon,905899,149,2020,2,0,1,4.3,medium
6058,Marseille,374306,104,2006,2,1,1,3.0999999999999996,low
6059,Marseille,256676,70,2011,2,0,0,2.8,medium
6060,Paris,323726,50,2009,1,0,0,2.7,low
6061,Lyon,451586,69,2014,1,1,0,3.7,high
6062,Marseille,179085,81,2007,2,1,0,2.3,low
6063,Marseille,298027,60,2008,1,0,0,3.0,high
6064,Paris,839191,78,2014,1,0,0,3.2,medium
6065,Paris,1241479,76,2024,1,0,0,4.0,high
6066,Lyon,712227,116,2015,2,1,1,4.3,medium
6067,Marseille,254664,60,2006,2,0,0,2.5,medium
6068,Paris,451073,40,2006,1,0,0,3.4000000000000004,high
6069,Marseille,323003,63,2015,2,1,0,3.5999999999999996,high
6070,Marseille,385330,122,2011,3,1,1,3.3999999999999995,low
6071,Marseille,742691,154,2022,3,0,0,3.8999999999999995,high
6072,Lyon,427237,58,2018,1,0,0,3.7,high
6073,Lyon,675419,65,2021,2,0,0,1.5000000000000002,scam
6074,Marseille,205838,91,2005,2,0,1,2.5,low
6075,Lyon,754408,110,2016,2,1,0,4.6,high
6076,Lyon,342878,69,2021,1,0,0,3.2,medium
6077,Lyon,528680,93,2009,1,1,1,3.7,medium
6078,Lyon,650834,104,2024,2,1,1,4.6,medium
6079,Paris,296450,30,2019,1,0,0,3.2,medium
6080,Marseille,423054,79,2024,2,0,0,3.5999999999999996,high
6081,Marseille,271917,60,2011,2,0,0,3.3,high
6082,Paris,522151,58,2009,1,0,0,3.2,medium
6083,Lyon,347009,78,2024,2,1,0,3.8,medium
6084,Paris,186516,20,2009,1,0,0,2.9000000000000004,medium
6085,Marseille,318494,60,2020,2,0,0,3.5999999999999996,high
6086,Paris,739119,54,2021,1,1,0,4.3,high
6087,Lyon,784685,124,2023,3,0,1,4.3,medium
6088,Marseille,517627,103,2020,2,1,0,4.199999999999999,high
6089,Lyon,676568,83,2012,1,1,0,3.7,high
6090,Lyon,687489,108,2014,2,1,0,3.8,medium
6091,Lyon,312761,56,2006,2,1,0,3.2,medium
6092,Lyon,663992,102,2024,2,1,1,4.6,medium
6093,Marseille,475444,97,2014,1,1,1,3.3,medium
6094,Marseille,250016,60,2010,2,0,0,2.8,medium
6095,Marseille,483988,116,2017,2,1,0,3.6999999999999993,medium
6096,Paris,694206,78,2008,2,1,0,3.8,medium
6097,Paris,963098,84,2022,1,0,0,4.0,high
6098,Lyon,573051,111,2011,3,1,0,3.8,medium
6099,Marseille,327590,60,2022,2,0,0,3.5999999999999996,high
6100,Lyon,429784,100,2010,3,1,0,3.5,medium
6101,Marseille,518313,107,2009,3,1,1,3.8999999999999995,medium
6102,Lyon,321525,57,2017,2,0,0,3.5,medium
6103,Lyon,480643,92,2008,2,1,0,3.5,medium
6104,Lyon,485882,85,2010,1,0,1,3.4000000000000004,medium
6105,Lyon,467779,90,2019,1,1,1,4.0,medium
6106,Paris,847966,72,2016,2,0,0,4.3,high
6107,Marseille,219388,60,2015,2,1,0,3.0999999999999996,medium
6108,Paris,368459,34,2020,1,0,0,3.2,medium
6109,Lyon,322520,62,2008,1,1,0,3.2,medium
6110,Paris,819667,70,2023,1,1,0,3.8,medium
6111,Lyon,244777,52,2024,2,0,0,3.5,medium
6112,Paris,763959,86,2018,1,1,0,3.8,medium
6113,Paris,210646,20,2009,1,0,0,2.9000000000000004,medium
6114,Paris,207424,20,2016,1,0,0,3.2,medium
6115,Lyon,512651,96,2018,2,1,0,3.8,medium
6116,Lyon,685570,150,2013,3,0,1,3.5,low
6117,Lyon,1115734,146,2018,3,1,1,5.0,high
6118,Marseille,580955,139,2024,2,1,0,3.6999999999999993,medium
6119,Paris,1119710,79,2021,1,0,0,4.0,high
6120,Lyon,401064,117,2023,3,1,0,3.5999999999999996,low
6121,Marseille,590361,136,2008,2,0,1,3.5999999999999996,medium
6122,Paris,1089194,75,2014,2,1,0,4.3,high
6123,Marseille,618167,104,2019,3,1,0,4.199999999999999,high
6124,Paris,714236,60,2011,2,1,0,3.8,medium
6125,Lyon,318349,50,2006,2,1,0,3.2,medium
6126,Paris,420149,40,2012,1,0,0,3.2,medium
6127,Lyon,510430,92,2021,2,1,0,3.8,medium
6128,Lyon,326105,50,2009,2,1,0,4.0,high
6129,Lyon,336729,69,2008,2,1,0,3.5,medium
6130,Marseille,410935,96,2015,2,1,0,3.0999999999999996,medium
6131,Paris,636575,63,2005,1,1,0,3.2,medium
6132,Lyon,280133,69,2013,1,0,0,2.9000000000000004,medium
6133,Marseille,567550,101,2024,2,1,0,4.199999999999999,high
6134,Paris,1022258,80,2011,2,0,0,4.0,high
6135,Marseille,673146,148,2014,3,0,0,3.5999999999999996,high
6136,Lyon,583987,113,2007,2,1,0,3.5,medium
6137,Paris,544865,54,2021,1,0,0,3.5,medium
6138,Marseille,441894,79,2006,1,1,0,3.0,high
6139,Lyon,219493,82,2019,2,0,0,3.0,low
6140,Lyon,372427,67,2010,1,0,0,2.9000000000000004,medium
6141,Paris,272276,36,2007,1,0,0,2.6000000000000005,medium
6142,Paris,645981,54,2017,1,0,0,4.0,high
6143,Marseille,203582,60,2012,2,0,0,2.8,medium
6144,Lyon,645035,122,2006,2,1,0,3.5,medium
6145,Paris,770363,65,2012,1,0,0,3.7,high
6146,Paris,436564,43,2006,1,0,0,2.9000000000000004,medium
6147,Lyon,439590,61,2021,1,0,0,3.7,high
6148,Marseille,566430,115,2009,3,1,0,3.8999999999999995,high
6149,Marseille,352147,60,2024,2,0,0,3.5999999999999996,high
6150,Paris,1054236,75,2018,2,1,0,4.6,high
6151,Lyon,529057,90,2017,1,1,1,4.0,medium
6152,Marseille,376477,78,2010,2,0,0,3.3,high
6153,Lyon,538244,75,2020,1,1,0,4.0,high
6154,Lyon,536322,85,2023,1,0,0,3.7,high
6155,Paris,816210,69,2024,2,1,0,4.1,medium
6156,Marseille,507202,144,2008,2,0,1,3.5999999999999996,medium
6157,Lyon,163910,51,2017,2,1,0,3.3,low
6158,Paris,565145,45,2014,1,0,0,3.7,high
6159,Paris,803097,56,2022,1,1,0,4.3,high
6160,Paris,377729,38,2019,1,0,0,3.2,medium
6161,Lyon,303432,79,2024,2,0,0,3.0,low
6162,Marseille,468844,122,2017,3,1,0,3.6999999999999993,medium
6163,Marseille,231256,60,2014,2,1,0,3.0999999999999996,medium
6164,Lyon,520795,78,2022,2,1,0,4.3,high
6165,Marseille,513250,97,2015,2,1,1,3.5999999999999996,medium
6166,Paris,219823,20,2016,1,0,0,3.2,medium
6167,Paris,703285,63,2012,2,1,0,3.8,medium
6168,Marseille,539818,103,2006,2,1,1,3.5999999999999996,medium
6169,Paris,565147,70,2011,2,0,0,3.5,medium
6170,Marseille,462433,81,2018,1,1,1,3.5999999999999996,medium
6171,Paris,741799,60,2017,1,0,0,4.0,high
6172,Paris,908683,59,2021,1,0,0,4.0,high
6173,Marseille,293740,60,2019,1,0,0,3.3,high
6174,Marseille,344546,69,2022,2,1,0,3.8999999999999995,high
6175,Paris,921516,95,2007,2,1,0,3.5,medium
6176,Paris,755516,81,2013,2,0,0,3.5,medium
6177,Paris,343973,41,2019,1,0,0,3.5,medium
6178,Marseille,410715,100,2014,2,0,1,3.3,medium
6179,Marseille,620532,111,2018,2,1,1,4.199999999999999,medium
6180,Marseille,845470,150,2017,4,1,0,4.499999999999999,high
6181,Marseille,478998,120,2020,2,0,1,3.8999999999999995,medium
6182,Paris,260398,26,2018,1,0,0,3.2,medium
6183,Lyon,376324,50,2021,2,0,0,4.0,high
6184,Lyon,268593,50,2012,1,0,0,2.9000000000000004,medium
6185,Marseille,600648,169,2014,3,1,1,3.3999999999999995,low
6186,Lyon,350283,50,2013,1,1,0,3.7,high
6187,Lyon,545562,93,2023,1,1,1,4.0,medium
6188,Marseille,368774,97,2012,1,1,1,2.8,low
6189,Lyon,574138,96,2019,2,1,1,4.3,medium
6190,Paris,703961,64,2021,2,0,0,3.8,medium
6191,Lyon,478626,94,2023,1,1,0,3.5,medium
6192,Paris,956294,83,2012,1,0,1,3.7,medium
6193,Lyon,707015,120,2018,2,1,1,4.6,medium
6194,Lyon,303645,50,2020,2,0,0,4.0,high
6195,Paris,550306,55,2008,1,0,0,3.2,medium
6196,Lyon,320128,51,2005,2,1,0,3.2,medium
6197,Lyon,409360,106,2007,2,1,1,3.5,low
6198,Marseille,400713,60,2023,1,1,0,3.5999999999999996,high
6199,Marseille,312606,60,2023,1,1,0,3.5999999999999996,high
6200,Marseille,317159,80,2007,2,1,0,2.8,medium
6201,Paris,514024,40,2014,1,0,0,3.7,high
6202,Paris,538692,84,2013,1,0,0,2.7,low
6203,Marseille,531449,140,2006,3,1,1,3.0999999999999996,low
6204,Marseille,661613,167,2011,3,1,1,3.8999999999999995,medium
6205,Marseille,311377,85,2013,1,1,1,2.8,low
6206,Paris,732792,62,2017,1,0,0,4.0,high
6207,Marseille,453612,89,2020,2,1,1,3.8999999999999995,medium
6208,Marseille,432844,175,2021,4,1,1,3.999999999999999,low
6209,Paris,833502,88,2008,1,0,0,3.2,medium
6210,Lyon,673845,119,2019,2,1,0,4.1,medium
6211,Paris,539920,41,2014,1,0,0,3.7,high
6212,Paris,554494,70,2013,2,1,0,3.3,low
6213,Paris,1014143,100,2011,3,0,0,3.5,medium
6214,Marseille,353915,106,2016,3,1,1,3.6999999999999993,low
6215,Marseille,641034,130,2020,2,1,0,4.199999999999999,high
6216,Lyon,428164,63,2015,2,1,0,4.0,high
6217,Marseille,765144,158,2024,4,1,0,4.499999999999999,high
6218,Lyon,551510,95,2013,1,1,1,3.7,medium
6219,Paris,671694,51,2014,2,0,0,4.0,high
6220,Marseille,686089,108,2021,2,1,1,4.699999999999999,high
6221,Marseille,848225,141,2020,2,1,1,4.699999999999999,high
6222,Lyon,357602,85,2010,2,1,0,3.0,low
6223,Lyon,576405,69,2022,1,1,0,4.0,high
6224,Marseille,424964,96,2016,2,1,0,3.3999999999999995,medium
6225,Lyon,865657,92,2023,2,1,0,4.3,high
6226,Lyon,745835,101,2023,3,0,0,4.3,high
6227,Marseille,541941,122,2011,3,0,1,3.5999999999999996,medium
6228,Lyon,393507,61,2023,2,1,0,4.3,high
6229,Lyon,427306,54,2016,2,0,0,4.0,high
6230,Marseille,440716,96,2013,1,1,1,3.3,medium
6231,Marseille,768366,116,2023,2,0,0,1.3999999999999997,scam
6232,Paris,1107459,74,2021,2,0,0,4.3,high
6233,Lyon,321022,50,2023,2,1,0,4.3,high
6234,Marseille,154405,60,2012,2,0,0,2.3,low
6235,Paris,481603,39,2014,1,0,0,3.4000000000000004,high
6236,Paris,959497,75,2015,2,0,0,4.0,high
6237,Marseille,323779,83,2010,2,1,1,3.5999999999999996,medium
6238,Paris,645838,81,2012,2,0,0,3.5,medium
6239,Paris,690536,57,2022,2,1,0,4.1,medium
6240,Lyon,327942,61,2011,1,0,0,2.9000000000000004,medium
6241,Marseille,435341,123,2011,2,0,1,3.5999999999999996,medium
6242,Lyon,1044232,114,2024,3,0,0,1.8,scam
6243,Marseille,555966,108,2005,3,1,0,3.5999999999999996,high
6244,Marseille,673424,146,2020,3,1,1,4.199999999999999,medium
6245,Marseille,607368,105,2020,3,0,0,3.8999999999999995,high
6246,Lyon,610571,100,2022,2,1,1,4.3,medium
6247,Marseille,931158,180,2023,4,0,1,4.199999999999999,medium
6248,Lyon,627524,95,2011,1,1,0,3.7,high
6249,Marseille,518158,84,2023,2,0,0,3.5999999999999996,high
6250,Lyon,475599,83,2010,1,1,0,3.2,medium
6251,Marseille,267995,101,2006,2,0,0,2.3,low
6252,Paris,366353,36,2009,1,0,0,2.9000000000000004,medium
6253,Paris,459521,50,2009,1,0,0,3.2,medium
6254,Paris,463051,50,2016,2,0,0,3.8,medium
6255,Marseille,648857,162,2012,3,0,1,3.5999999999999996,medium
6256,Marseille,537584,111,2009,3,0,0,3.5999999999999996,high
6257,Marseille,360129,99,2007,1,1,0,2.5,medium
6258,Paris,1227637,90,2024,1,0,0,4.0,high
6259,Marseille,169892,60,2005,2,0,0,1.9999999999999998,low
6260,Paris,1557274,100,2024,2,1,0,4.6,high
6261,Marseille,557285,136,2018,3,1,0,3.6999999999999993,medium
6262,Paris,783386,62,2009,1,0,0,3.7,high
6263,Paris,1088399,100,2014,3,1,0,3.8,medium
6264,Paris,791456,72,2006,1,0,0,2.9000000000000004,medium
6265,Lyon,958686,131,2015,2,1,1,4.3,medium
6266,Paris,1048775,85,2018,1,0,0,4.0,high
6267,Marseille,277571,96,2015,2,1,0,2.5999999999999996,low
6268,Marseille,609919,102,2024,2,1,1,4.699999999999999,high
6269,Paris,674581,56,2009,1,0,0,3.7,high
6270,Marseille,340670,60,2011,1,1,0,3.3,high
6271,Marseille,631456,142,2013,3,0,1,3.5999999999999996,medium
6272,Marseille,368864,106,2019,2,1,0,3.6999999999999993,medium
6273,Paris,449888,49,2005,1,0,0,2.9000000000000004,medium
6274,Marseille,282296,60,2006,2,1,0,2.8,medium
6275,Marseille,205319,60,2009,2,0,0,2.8,medium
6276,Marseille,554814,104,2017,2,1,1,4.199999999999999,medium
6277,Paris,662538,64,2024,2,1,0,4.1,medium
6278,Paris,691842,62,2009,2,0,0,4.0,high
6279,Paris,900183,80,2022,2,0,0,4.3,high
6280,Paris,822293,67,2013,2,1,0,4.3,high
6281,Paris,716877,66,2016,2,0,0,3.8,medium
6282,Paris,499765,47,2020,1,0,0,3.5,medium
6283,Marseille,804405,153,2017,4,1,1,4.499999999999999,medium
6284,Lyon,557205,103,2012,3,0,0,3.5,medium
6285,Marseille,496210,126,2024,3,1,0,3.6999999999999993,medium
6286,Marseille,261992,60,2010,1,0,0,2.5,medium
6287,Paris,625575,54,2007,2,0,0,3.7,high
6288,Lyon,751400,98,2015,1,1,1,4.2,high
6289,Marseille,568103,112,2012,3,1,1,3.8999999999999995,medium
6290,Paris,673026,74,2014,1,0,0,3.2,medium
6291,Lyon,582231,110,2012,2,1,1,4.3,medium
6292,Paris,887281,76,2016,2,0,0,4.3,high
6293,Lyon,308478,55,2006,2,0,0,2.9000000000000004,medium
6294,Lyon,376296,71,2015,2,1,0,3.5,medium
6295,Paris,239622,20,2012,1,0,0,3.4000000000000004,high
6296,Lyon,359259,66,2017,1,0,0,3.2,medium
6297,Lyon,486854,98,2014,1,1,0,3.2,medium
6298,Marseille,308648,102,2010,3,1,0,2.8999999999999995,low
6299,Lyon,797469,114,2018,3,1,0,4.6,high
6300,Lyon,826263,106,2022,3,1,0,4.6,high
6301,Paris,562841,61,2013,2,0,0,3.5,medium
6302,Lyon,311260,71,2013,1,1,0,3.2,medium
6303,Marseille,538894,94,2019,1,0,0,3.3,high
6304,Paris,521654,56,2022,1,1,0,3.8,medium
6305,Marseille,219354,71,2017,1,1,0,2.5999999999999996,low
6306,Marseille,677515,150,2022,4,1,1,4.499999999999999,medium
6307,Paris,518263,43,2009,1,0,0,3.7,high
6308,Paris,323688,44,2009,1,0,0,2.7,low
6309,Marseille,396221,81,2013,1,1,1,3.3,medium
6310,Paris,491438,60,2007,1,1,0,3.2,medium
6311,Marseille,451558,170,2010,4,1,1,3.6999999999999993,low
6312,Lyon,138347,61,2006,1,1,0,2.4000000000000004,low
6313,Paris,574559,63,2024,2,0,0,3.8,medium
6314,Paris,255109,25,2020,1,0,0,3.2,medium
6315,Paris,765760,82,2012,1,1,0,3.5,medium
6316,Lyon,487103,83,2019,1,1,0,3.5,medium
6317,Paris,511871,45,2014,1,0,0,3.7,high
6318,Paris,648036,75,2008,1,1,0,3.5,medium
6319,Lyon,339104,50,2019,1,1,0,4.0,high
6320,Lyon,332941,50,2014,1,1,0,3.7,high
6321,Lyon,629898,84,2022,1,1,0,4.0,high
6322,Marseille,826437,162,2009,4,1,1,4.199999999999999,medium
6323,Marseille,570018,112,2013,3,1,1,3.8999999999999995,medium
6324,Lyon,269720,50,2016,1,0,0,3.2,medium
6325,Marseille,654990,141,2009,2,0,1,3.5999999999999996,medium
6326,Paris,648058,50,2019,2,0,0,4.3,high
6327,Paris,365671,45,2012,1,0,0,3.2,medium
6328,Marseille,466099,86,2021,1,0,0,3.3,high
6329,Paris,953243,77,2019,2,1,0,4.6,high
6330,Marseille,344202,104,2016,2,1,0,3.6999999999999993,medium
6331,Marseille,693411,108,2014,3,1,0,3.8999999999999995,high
6332,Lyon,215051,50,2015,2,0,0,3.2,medium
6333,Marseille,563572,141,2014,3,1,1,3.8999999999999995,medium
6334,Paris,992986,75,2024,2,0,0,4.3,high
6335,Paris,555606,83,2005,1,0,0,2.4000000000000004,low
6336,Marseille,535787,108,2021,3,1,1,4.199999999999999,medium
6337,Lyon,375431,89,2007,1,1,1,2.9000000000000004,low
6338,Lyon,859321,123,2024,3,1,0,4.6,high
6339,Lyon,314665,59,2010,1,0,0,2.9000000000000004,medium
6340,Paris,1012431,79,2018,2,0,0,4.3,high
6341,Paris,1041230,100,2016,2,0,0,3.8,medium
6342,Marseille,347406,116,2012,2,1,0,2.8999999999999995,low
6343,Lyon,424742,103,2006,3,1,1,3.5,low
6344,Marseille,437030,98,2021,2,1,1,3.8999999999999995,medium
6345,Paris,853442,95,2012,2,1,0,3.8,medium
6346,Paris,646230,57,2006,2,0,0,3.7,high
6347,Paris,538722,49,2015,1,0,0,3.2,medium
6348,Marseille,625697,121,2011,3,1,0,3.8999999999999995,high
6349,Paris,739023,83,2006,1,0,0,2.9000000000000004,medium
6350,Marseille,245183,75,2018,2,1,0,3.3999999999999995,medium
6351,Lyon,498371,96,2018,1,0,0,3.2,medium
6352,Paris,1006165,90,2006,2,0,1,3.7,medium
6353,Marseille,336580,92,2006,2,1,1,2.8,low
6354,Paris,1022667,78,2016,2,0,0,4.3,high
6355,Lyon,369964,117,2015,2,1,0,3.3,low
6356,Lyon,532095,121,2005,2,1,0,3.5,medium
6357,Marseille,326162,83,2014,1,0,0,2.5,medium
6358,Marseille,495200,101,2008,2,0,1,3.5999999999999996,medium
6359,Marseille,319707,77,2021,1,1,0,3.0999999999999996,medium
6360,Lyon,502132,105,2020,2,0,0,3.8,medium
6361,Lyon,618925,140,2005,3,0,1,3.2,low
6362,Paris,786680,82,2015,1,0,1,3.7,medium
6363,Marseille,794382,129,2024,3,1,0,4.199999999999999,high
6364,Paris,609011,67,2007,2,0,0,3.2,medium
6365,Marseille,249969,60,2018,1,1,0,3.0999999999999996,medium
6366,Paris,413221,53,2006,1,0,0,2.9000000000000004,medium
6367,Lyon,440533,105,2007,3,0,1,3.2,low
6368,Paris,514604,47,2017,1,0,0,3.5,medium
6369,Lyon,1051285,149,2022,2,0,0,4.3,high
6370,Marseille,604321,129,2023,3,1,0,3.6999999999999993,medium
6371,Lyon,796328,122,2014,2,1,0,4.3,high
6372,Lyon,402668,91,2013,2,1,1,3.5,low
6373,Lyon,471315,94,2022,2,0,0,3.5,medium
6374,Marseille,218379,67,2008,1,1,0,2.8,medium
6375,Paris,381820,37,2017,1,0,0,3.2,medium
6376,Lyon,463128,94,2009,1,1,0,3.2,medium
6377,Marseille,396438,104,2007,2,1,1,3.5999999999999996,medium
6378,Marseille,290278,60,2018,2,0,0,3.5999999999999996,high
6379,Lyon,541622,86,2015,2,0,0,3.7,high
6380,Lyon,267043,50,2015,2,1,0,3.5,medium
6381,Paris,1185688,86,2019,2,0,0,4.3,high
6382,Marseille,575589,133,2012,2,0,1,3.5999999999999996,medium
6383,Lyon,391462,81,2008,2,1,0,3.5,medium
6384,Lyon,625275,106,2007,3,1,1,4.0,medium
6385,Lyon,385361,68,2017,2,0,0,3.5,medium
6386,Paris,405760,40,2006,1,0,0,2.9000000000000004,medium
6387,Lyon,460989,75,2015,1,1,0,3.2,medium
6388,Lyon,533568,136,2017,2,0,0,3.8,medium
6389,Marseille,391593,118,2014,3,0,1,3.0999999999999996,low
6390,Lyon,424471,65,2024,2,0,0,4.0,high
6391,Lyon,558617,88,2008,2,1,1,4.0,medium
6392,Paris,799577,71,2005,1,0,0,3.4000000000000004,high
6393,Lyon,428364,50,2019,2,1,0,4.3,high
6394,Paris,766673,56,2022,2,1,0,4.6,high
6395,Marseille,498886,149,2012,3,1,1,3.3999999999999995,low
6396,Paris,938239,99,2020,2,1,0,4.1,medium
6397,Paris,611650,79,2008,2,1,0,3.3,low
6398,Lyon,528039,61,2024,2,1,0,4.3,high
6399,Marseille,601572,128,2010,2,1,0,3.3999999999999995,medium
6400,Paris,1152015,86,2023,1,1,1,4.3,medium
6401,Lyon,207487,50,2010,2,0,0,3.2,medium
6402,Paris,637418,66,2005,2,1,0,3.5,medium
6403,Marseille,231234,67,2006,2,1,0,2.8,medium
6404,Lyon,638548,92,2017,2,1,0,4.3,high
6405,Paris,595999,59,2008,2,0,0,3.5,medium
6406,Marseille,607834,166,2012,3,1,0,3.3999999999999995,medium
6407,Lyon,502390,78,2016,1,1,0,4.0,high
6408,Paris,446617,62,2013,2,0,0,3.0,low
6409,Lyon,256469,50,2006,2,1,0,3.2,medium
6410,Paris,607268,55,2010,1,0,0,3.2,medium
6411,Paris,829635,69,2015,2,1,0,3.8,medium
6412,Lyon,567867,98,2014,1,1,1,3.7,medium
6413,Lyon,490075,95,2008,2,0,1,3.7,medium
6414,Lyon,534752,96,2016,1,1,1,4.0,medium
6415,Lyon,513432,79,2021,2,1,0,4.3,high
6416,Paris,434153,54,2007,2,0,0,3.2,medium
6417,Paris,463520,59,2005,1,1,0,2.7,low
6418,Paris,1064439,72,2016,2,0,0,4.3,high
6419,Paris,1131700,100,2016,3,0,0,4.3,high
6420,Marseille,600779,126,2015,3,0,1,3.5999999999999996,medium
6421,Paris,227553,20,2010,1,0,0,3.4000000000000004,high
6422,Lyon,727561,150,2006,3,1,0,3.5,medium
6423,Paris,895734,95,2018,2,0,0,3.8,medium
6424,Lyon,288823,50,2018,1,0,0,3.2,medium
6425,Marseille,346391,60,2017,1,0,0,3.3,high
6426,Paris,1237660,96,2023,2,0,0,4.3,high
6427,Paris,500147,43,2019,1,0,0,4.0,high
6428,Lyon,354029,53,2022,2,0,0,4.0,high
6429,Lyon,390563,59,2016,2,1,0,4.3,high
6430,Paris,871334,76,2021,1,1,0,3.8,medium
6431,Lyon,498535,82,2016,1,1,0,3.5,medium
6432,Paris,607317,55,2005,2,0,0,3.2,medium
6433,Lyon,383823,60,2015,1,1,0,3.7,high
6434,Paris,493383,45,2013,1,0,0,3.2,medium
6435,Paris,633617,74,2007,1,0,0,2.9000000000000004,medium
6436,Paris,601099,52,2017,1,0,0,4.0,high
6437,Paris,1052633,67,2017,1,0,0,4.0,high
6438,Marseille,667538,147,2006,2,0,0,3.3,high
6439,Marseille,523893,151,2017,3,1,0,3.6999999999999993,medium
6440,Marseille,372362,114,2021,3,1,0,3.6999999999999993,medium
6441,Paris,323973,29,2013,1,0,0,3.4000000000000004,high
6442,Marseille,453072,94,2016,1,0,1,3.3,medium
6443,Paris,666166,58,2019,1,0,0,4.0,high
6444,Marseille,277288,60,2008,2,0,0,3.3,high
6445,Marseille,326921,95,2021,2,0,1,3.0999999999999996,low
6446,Marseille,836677,162,2023,3,1,0,4.199999999999999,high
6447,Paris,652674,48,2021,1,0,0,4.0,high
6448,Paris,579397,67,2017,1,0,0,3.5,medium
6449,Paris,993527,81,2017,2,0,0,4.3,high
6450,Marseille,237733,60,2007,1,1,0,2.5,medium
6451,Marseille,815277,149,2006,2,0,1,3.8,high
6452,Lyon,731594,110,2011,2,1,1,4.3,medium
6453,Marseille,268247,71,2015,2,0,0,2.8,medium
6454,Paris,461962,48,2010,1,0,0,3.2,medium
6455,Lyon,487187,87,2020,2,1,1,4.3,medium
6456,Marseille,397995,126,2011,3,0,0,3.0999999999999996,medium
6457,Paris,586904,50,2023,2,0,0,4.3,high
6458,Paris,747127,84,2010,1,1,0,3.5,medium
6459,Marseille,456536,83,2005,2,0,1,3.5,high
6460,Marseille,269995,64,2019,2,0,0,3.0999999999999996,medium
